0191fc31fd6c70519fec107a2b1e302c	BMH Objekt-Einsteckschloss 0300.000177, PZ gelocht, Stulp 24x235 mm rund, Dorn 60 mm, DIN links	BMH	Anschlagrichtung: DIN L | Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: rund | Lochung: Profilzylinder (PZ) | Dornmaß: 60 mm | Stulplänge: 235 mm | Stulpbreite: 24 mm
0191fc31fd70721f904a4e407e7acc9d	BMH Objekt-Einsteckschloss 0300.000178, PZ gelocht, Stulp 24x235 mm rund, Dorn 60 mm, DIN rechts	BMH	Dornmaß: 60 mm | Stulplänge: 235 mm | Stulpbreite: 24 mm | Anschlagrichtung: DIN R | Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: rund | Lochung: Profilzylinder (PZ)
0191fc3215ed7158b673e29950a26e56	BMH Objekt-Einsteckschloss 0300.000193, PZ gelocht, Stulp 20x235 mm rund, Dorn 65 mm, DIN links	BMH	Stulpbreite: 20 mm | Anschlagrichtung: DIN L | Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: rund | Lochung: Profilzylinder (PZ) | Dornmaß: 65 mm | Stulplänge: 235 mm
0191fc3215f17109ad25f076ed342162	BMH Objekt-Einsteckschloss 0300.000194, PZ gelocht, Stulp 20x235 mm rund, Dorn 65 mm, DIN rechts	BMH	Stulpform: rund | Lochung: Profilzylinder (PZ) | Dornmaß: 65 mm | Stulplänge: 235 mm | Stulpbreite: 20 mm | Anschlagrichtung: DIN R | Entfernung: 72 mm | Vierkant / Nuss: 8 mm
0191fc3215f4725db1a881989752ec2d	BMH Objekt-Einsteckschloss 0300.000205, PZ gelocht, Stulp 24x235 mm rund, Dorn 65 mm, DIN links	BMH	Stulplänge: 235 mm | Anschlagrichtung: DIN L | Stulpbreite: 24 mm | Entfernung: 72 mm | Vierkant / Nuss: 8 mm | Stulpform: rund | Dornmaß: 65 mm | Lochung: Profilzylinder (PZ)
0191fc3215f87224b0bce99e4351c1c4	BMH Objekt-Einsteckschloss 0300.000206, PZ gelocht, Stulp 24x235 mm rund, Dorn 65 mm, DIN rechts	BMH	Vierkant / Nuss: 8 mm | Stulpform: rund | Lochung: Profilzylinder (PZ) | Dornmaß: 65 mm | Stulplänge: 235 mm | Stulpbreite: 24 mm | Anschlagrichtung: DIN R | Entfernung: 72 mm
0191fc3216d3723eb5d4531fcfeb2982	BMH PANIK-EINSTECKSCHLOSS 1013 PZ 65/9/72MM LI FKT. "D" STULP 24MM RUND VERZINKT	BMH	Dornmaß: 65 mm | Panikfunktion: Funktion D | Stulplänge: 235 mm | Stulpbreite: 24 mm | Anschlagrichtung: L | Vierkant / Nuss: 9 mm | Stulpform: rund | Entfernung: 209 mm
0191fc3216d67016b9383222491ed72e	BMH PANIK-EINSTECKSCHLOSS 1013 PZ 65/9/72MM Re FKT. "D" STULP 24MM RUND VERZINKT	BMH	Stulpform: rund | Panikfunktion: Funktion D | Anschlagrichtung: R | Entfernung: 72 mm | Vierkant / Nuss: 9 mm | Stulpbreite: 24 mm | Dornmaß: 65 mm
0191fc3216d071b5a705b2fd7c6f4c1b	BMH PANIK-EINSTECKSCHLOSS 1013 PZW 65/9/72MM LI FKT. "E" STULP 24MM RUND VERZINKT	BMH	Vierkant / Nuss: 9 mm | Stulpbreite: 24 mm | Dornmaß: 65 mm | Panikfunktion: Funktion E | Stulpform: rund | Anschlagrichtung: L | Entfernung: 72 mm
0191fc31fee770ad9774b8eb02a76269	BMH PANIK-EINSTECKSCHLOSS 1013 PZW 65/9/72MM Re FKT. "E" STULP 24MM RUND VERZINKT	BMH	Entfernung: 209 mm | Stulpform: rund | Dornmaß: 65 mm | Panikfunktion: Funktion E | Stulpbreite: 24 mm | Stulplänge: 235 mm | Anschlagrichtung: R | Vierkant / Nuss: 9 mm
